State,County,Year,median_aqi,sample_weight
Nebraska,Lancaster,2025,36,0.5722222222222222
Nebraska,Sarpy,2025,33,1.0
Nebraska,Scotts Bluff,2025,24,1.0
Nebraska,Thomas,2025,9,0.10555555555555556
Nebraska,Washington,2025,29,1.0
Nevada,Carson City,2025,45,0.9944444444444445
Nevada,Churchill,2025,43,0.9666666666666667
Nevada,Clark,2025,64,1.0
Nevada,Douglas,2025,22,0.9777777777777777
Nevada,Elko,2025,19,0.8444444444444444
Nevada,Lyon,2025,44,1.0
Nevada,Nye,2025,24,1.0
Nevada,Washoe,2025,51,1.0
Nevada,White Pine,2025,47,1.0
New Hampshire,Belknap,2025,34,1.0
New Hampshire,Cheshire,2025,38,1.0
New Hampshire,Coos,2025,40,1.0
New Hampshire,Grafton,2025,38,1.0
New Hampshire,Hillsborough,2025,38,1.0
New Hampshire,Merrimack,2025,38,0.6777777777777778
New Hampshire,Rockingham,2025,39,1.0
New Jersey,Atlantic,2025,38,1.0
New Jersey,Bergen,2025,40,1.0
New Jersey,Camden,2025,44,1.0
New Jersey,Cumberland,2025,42,0.9888888888888889
New Jersey,Gloucester,2025,43,0.9666666666666667
New Jersey,Hudson,2025,41,1.0
New Jersey,Hunterdon,2025,41,0.9888888888888889
New Jersey,Mercer,2025,43,1.0
New Jersey,Middlesex,2025,36,0.9888888888888889
New Jersey,Monmouth,2025,37,0.8055555555555556
New Jersey,Morris,2025,38,1.0
New Jersey,Ocean,2025,40,0.9944444444444445
New Jersey,Passaic,2025,41,1.0
New Jersey,Union,2025,45,1.0
New Jersey,Warren,2025,38,0.9833333333333333
New Mexico,Bernalillo,2025,59,1.0
New Mexico,Catron,2025,8,0.10555555555555556
New Mexico,Chaves,2025,16,0.1
New Mexico,Dona Ana,2025,70,1.0
New Mexico,Eddy,2025,51,1.0
New Mexico,Lea,2025,47,1.0
New Mexico,Lincoln,2025,11,0.10555555555555556
New Mexico,Los Alamos,2025,10,0.1111111111111111
New Mexico,Luna,2025,19,1.0
New Mexico,Rio Arriba,2025,45,1.0
New Mexico,San Juan,2025,49,1.0
New Mexico,Sandoval,2025,47,1.0
New Mexico,Santa Fe,2025,46,1.0
New Mexico,Socorro,2025,12,0.1111111111111111
New Mexico,Taos,2025,14,1.0
New Mexico,Valencia,2025,48,1.0
New York,Albany,2025,39,1.0
New York,Bronx,2025,47,1.0
New York,Chautauqua,2025,39,1.0
New York,Dutchess,2025,37,1.0
New York,Erie,2025,44,1.0
New York,Essex,2025,42,1.0
New York,Hamilton,2025,36,1.0
New York,Jefferson,2025,36,1.0
New York,Kings,2025,44,1.0
New York,Monroe,2025,41,1.0
New York,Nassau,2025,31,0.005555555555555556
New York,New York,2025,43,1.0
New York,Niagara,2025,37,1.0
New York,Oneida,2025,28,1.0
New York,Onondaga,2025,39,1.0
New York,Orange,2025,28,1.0
New York,Oswego,2025,35,1.0
New York,Putnam,2025,35,1.0
New York,Queens,2025,44,1.0
New York,Richmond,2025,41,1.0
New York,Rockland,2025,39,1.0
New York,Saratoga,2025,36,1.0
New York,Steuben,2025,40,1.0
New York,Suffolk,2025,41,1.0
New York,Tompkins,2025,38,1.0
New York,Wayne,2025,36,1.0
New York,Westchester,2025,41,1.0
North Carolina,Alexander,2025,39,1.0
North Carolina,Avery,2025,38,1.0
North Carolina,Buncombe,2025,42,1.0
North Carolina,Caldwell,2025,37,1.0
North Carolina,Carteret,2025,37,1.0
North Carolina,Caswell,2025,39,1.0
North Carolina,Catawba,2025,43,1.0
North Carolina,Cumberland,2025,44,1.0
North Carolina,Davidson,2025,50,1.0
North Carolina,Durham,2025,43,1.0
North Carolina,Edgecombe,2025,40,1.0
