GEO_ID,County_Area,Total_Population
0500000US13249,"Schley County, Georgia",4513
0500000US13251,"Screven County, Georgia",14130
0500000US13253,"Seminole County, Georgia",9156
0500000US13255,"Spalding County, Georgia",68892
0500000US13257,"Stephens County, Georgia",27012
0500000US13259,"Stewart County, Georgia",4869
0500000US13261,"Sumter County, Georgia",29061
0500000US13263,"Talbot County, Georgia",5742
0500000US13265,"Taliaferro County, Georgia",1558
0500000US13267,"Tattnall County, Georgia",24208
0500000US13269,"Taylor County, Georgia",7786
0500000US13271,"Telfair County, Georgia",11831
0500000US13273,"Terrell County, Georgia",8850
0500000US13275,"Thomas County, Georgia",45777
0500000US13277,"Tift County, Georgia",41438
0500000US13279,"Toombs County, Georgia",27102
0500000US13281,"Towns County, Georgia",12913
0500000US13283,"Treutlen County, Georgia",6376
0500000US13285,"Troup County, Georgia",70330
0500000US13287,"Turner County, Georgia",8939
0500000US13289,"Twiggs County, Georgia",7803
0500000US13291,"Union County, Georgia",26304
0500000US13293,"Upson County, Georgia",28029
0500000US13295,"Walker County, Georgia",68762
0500000US13297,"Walton County, Georgia",103313
0500000US13299,"Ware County, Georgia",35976
0500000US13301,"Warren County, Georgia",5170
0500000US13303,"Washington County, Georgia",19849
0500000US13305,"Wayne County, Georgia",30949
0500000US13307,"Webster County, Georgia",2381
0500000US13309,"Wheeler County, Georgia",7335
0500000US13311,"White County, Georgia",28810
0500000US13313,"Whitfield County, Georgia",103598
0500000US13315,"Wilcox County, Georgia",8798
0500000US13317,"Wilkes County, Georgia",9549
0500000US13319,"Wilkinson County, Georgia",8747
0500000US13321,"Worth County, Georgia",20451
0500000US15001,"Hawaii County, Hawaii",205769
0500000US15003,"Honolulu County, Hawaii",1001146
0500000US15005,"Kalawao County, Hawaii",67
0500000US15007,"Kauai County, Hawaii",73731
0500000US15009,"Maui County, Hawaii",164522
0500000US16001,"Ada County, Idaho",518935
0500000US16003,"Adams County, Idaho",4744
0500000US16005,"Bannock County, Idaho",89454
0500000US16007,"Bear Lake County, Idaho",6650
0500000US16009,"Benewah County, Idaho",10142
0500000US16011,"Bingham County, Idaho",49664
0500000US16013,"Blaine County, Idaho",24951
0500000US16015,"Boise County, Idaho",8273
0500000US16017,"Bonner County, Idaho",51049
0500000US16019,"Bonneville County, Idaho",129523
0500000US16021,"Boundary County, Idaho",13172
0500000US16023,"Butte County, Idaho",2684
0500000US16025,"Camas County, Idaho",1124
0500000US16027,"Canyon County, Idaho",250790
0500000US16029,"Caribou County, Idaho",7162
0500000US16031,"Cassia County, Idaho",25483
0500000US16033,"Clark County, Idaho",849
0500000US16035,"Clearwater County, Idaho",9012
0500000US16037,"Custer County, Idaho",4470
0500000US16039,"Elmore County, Idaho",29321
0500000US16041,"Franklin County, Idaho",15056
0500000US16043,"Fremont County, Idaho",13943
0500000US16045,"Gem County, Idaho",20614
0500000US16047,"Gooding County, Idaho",15931
0500000US16049,"Idaho County, Idaho",17432
0500000US16051,"Jefferson County, Idaho",33154
0500000US16053,"Jerome County, Idaho",25173
0500000US16055,"Kootenai County, Idaho",181996
0500000US16057,"Latah County, Idaho",41049
0500000US16059,"Lemhi County, Idaho",8249
0500000US16061,"Lewis County, Idaho",3682
0500000US16063,"Lincoln County, Idaho",5358
0500000US16065,"Madison County, Idaho",54618
0500000US16067,"Minidoka County, Idaho",22208
0500000US16069,"Nez Perce County, Idaho",42697
0500000US16071,"Oneida County, Idaho",4768
0500000US16073,"Owyhee County, Idaho",12503
0500000US16075,"Payette County, Idaho",26771
0500000US16077,"Power County, Idaho",8133
0500000US16079,"Shoshone County, Idaho",13785
0500000US16081,"Teton County, Idaho",12425
0500000US16083,"Twin Falls County, Idaho",93734
0500000US16085,"Valley County, Idaho",12389
0500000US16087,"Washington County, Idaho",11142
0500000US17001,"Adams County, Illinois",64754
0500000US17003,"Alexander County, Illinois",4875
0500000US17005,"Bond County, Illinois",16716
0500000US17007,"Boone County, Illinois",53230
0500000US17009,"Brown County, Illinois",6322
0500000US17011,"Bureau County, Illinois",32866
0500000US17013,"Calhoun County, Illinois",4330
0500000US17015,"Carroll County, Illinois",15576
0500000US17017,"Cass County, Illinois",12784
0500000US17019,"Champaign County, Illinois",208741
0500000US17021,"Christian County, Illinois",33538
0500000US17023,"Clark County, Illinois",15266
0500000US17025,"Clay County, Illinois",13052
0500000US17027,"Clinton County, Illinois",36954
0500000US17029,"Coles County, Illinois",46777
0500000US17031,"Cook County, Illinois",5182090
0500000US17033,"Crawford County, Illinois",18511
0500000US17035,"Cumberland County, Illinois",10334
0500000US17037,"DeKalb County, Illinois",100703
0500000US17039,"De Witt County, Illinois",15373
0500000US17041,"Douglas County, Illinois",19751
0500000US17043,"DuPage County, Illinois",930024
0500000US17045,"Edgar County, Illinois",16535
0500000US17047,"Edwards County, Illinois",6075
0500000US17049,"Effingham County, Illinois",34522
0500000US17051,"Fayette County, Illinois",21315
0500000US17053,"Ford County, Illinois",13406
0500000US17055,"Franklin County, Illinois",37323
0500000US17057,"Fulton County, Illinois",33020
0500000US17059,"Gallatin County, Illinois",4819
