State,County,Year,median_aqi,sample_weight,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races,Median_Household_Income
Idaho,Latah,2025,24,0.8611111111111112,5.2,84.5,1.0,0.5,2.1,6.1,65424.0
Idaho,Lemhi,2025,23,1.0,3.9,91.5,0.1,0.4,0.0,3.5,53202.0
Idaho,Nez Perce,2025,29,1.0,4.4,85.5,0.2,4.2,0.9,4.2,72599.0
Idaho,Shoshone,2025,37,1.0,4.1,88.7,1.0,0.9,0.3,4.5,55527.0
Idaho,Twin Falls,2025,24,1.0,18.0,75.3,0.8,0.3,1.1,3.7,67409.0
Idaho,Valley,2025,32,0.9388888888888888,5.4,90.1,0.0,0.1,0.2,3.1,76078.0
Illinois,Adams,2025,38,1.0,2.1,90.0,2.8,0.1,0.7,4.1,66220.0
Illinois,Champaign,2025,44,1.0,8.3,62.4,13.4,0.1,11.4,4.1,63683.0
Illinois,Clark,2025,36,1.0,1.9,95.0,0.5,0.0,0.1,2.5,72927.0
Illinois,Cook,2025,53,1.0,26.8,40.1,21.8,0.1,7.9,3.0,83498.0
Illinois,DuPage,2025,44,1.0,16.1,62.2,4.8,0.0,13.0,3.5,112096.0
Illinois,Effingham,2025,35,1.0,2.8,94.2,0.3,0.0,0.8,1.6,80404.0
Illinois,Hamilton,2025,43,1.0,0.7,94.7,0.2,0.2,0.5,3.2,65746.0
Illinois,Jersey,2025,44,1.0,1.6,94.6,0.6,0.0,0.7,2.4,80361.0
Illinois,Jo Daviess,2025,35,1.0,4.2,91.9,0.8,0.1,0.5,2.2,73993.0
Illinois,Kane,2025,46,1.0,33.4,54.0,4.7,0.1,4.0,3.4,103163.0
Illinois,Lake,2025,40,1.0,24.9,56.2,6.3,0.1,8.6,3.3,110416.0
Illinois,Macon,2025,44,1.0,2.9,73.3,16.2,0.1,1.5,5.6,62666.0
Illinois,Macoupin,2025,37,1.0,1.4,93.5,1.5,0.1,0.3,3.0,70805.0
Illinois,Madison,2025,48,1.0,4.3,81.8,7.7,0.1,0.8,5.0,75793.0
Illinois,McHenry,2025,43,1.0,16.1,76.1,1.4,0.0,3.0,3.2,104802.0
Illinois,McLean,2025,44,1.0,6.4,76.2,8.4,0.1,5.2,3.3,79905.0
Illinois,Peoria,2025,47,1.0,6.0,66.1,17.2,0.1,4.6,5.5,65108.0
Illinois,Randolph,2025,44,1.0,3.8,85.1,8.2,0.1,0.6,1.9,68131.0
Illinois,Rock Island,2025,41,1.0,14.2,67.4,10.9,0.1,2.6,4.4,67159.0
Illinois,Sangamon,2025,42,1.0,2.9,77.3,12.5,0.1,2.3,4.3,75357.0
Illinois,Will,2025,45,1.0,19.8,58.6,11.6,0.1,6.3,3.4,109984.0
Illinois,Winnebago,2025,41,1.0,15.5,63.8,11.6,0.1,2.9,5.8,65837.0
Indiana,Allen,2025,45,1.0,9.0,69.8,10.5,0.0,5.3,4.8,70737.0
Indiana,Bartholomew,2025,44,1.0,9.2,77.7,1.8,0.1,7.4,3.4,79901.0
Indiana,Boone,2025,38,1.0,4.3,86.2,3.0,0.0,3.6,2.8,111250.0
Indiana,Brown,2025,37,1.0,1.9,94.2,0.3,0.4,0.6,2.3,78528.0
Indiana,Carroll,2025,37,1.0,4.6,92.5,0.3,0.0,0.1,2.4,65645.0
Indiana,Clark,2025,46,1.0,6.9,79.6,7.0,0.0,1.2,4.9,74214.0
Indiana,Delaware,2025,44,1.0,3.3,84.3,5.2,0.1,1.6,5.0,58127.0
Indiana,Dubois,2025,39,1.0,10.0,86.9,0.8,0.1,0.5,1.5,75979.0
Indiana,Elkhart,2025,44,1.0,20.1,69.9,4.7,0.2,1.0,3.6,68561.0
Indiana,Floyd,2025,46,1.0,4.3,85.3,4.8,0.0,1.2,4.1,79704.0
Indiana,Greene,2025,41,1.0,2.1,95.2,0.5,0.0,0.2,1.8,62094.0
Indiana,Hamilton,2025,47,1.0,5.6,78.6,4.4,0.0,6.9,3.8,121530.0
Indiana,Hendricks,2025,38,1.0,5.2,77.3,10.0,0.1,3.3,3.7,101144.0
Indiana,Henry,2025,38,1.0,2.3,92.1,2.2,0.1,0.5,2.6,63150.0
Indiana,Howard,2025,46,1.0,4.1,82.6,7.3,0.0,1.4,4.2,64027.0
Indiana,Knox,2025,38,1.0,3.0,89.4,1.7,0.0,0.9,4.8,61237.0
Indiana,LaPorte,2025,44,1.0,7.6,76.0,10.3,0.1,0.6,4.9,71055.0
Indiana,Lake,2025,53,1.0,20.9,51.4,22.7,0.1,1.6,2.9,71493.0
Indiana,Madison,2025,42,1.0,5.4,82.0,6.1,0.1,0.7,5.4,63037.0
Indiana,Marion,2025,53,1.0,13.8,49.5,27.1,0.1,4.0,4.9,66346.0
Indiana,Monroe,2025,36,1.0,4.8,80.7,3.5,0.0,6.8,3.9,65868.0
Indiana,Perry,2025,38,1.0,1.6,92.5,2.1,0.1,0.6,2.9,61151.0
Indiana,Porter,2025,44,1.0,11.7,79.1,4.3,0.0,1.4,3.1,87972.0
Indiana,Posey,2025,39,1.0,1.5,93.2,0.7,0.1,0.3,2.9,78129.0
Indiana,Shelby,2025,37,1.0,5.6,89.8,1.4,0.0,1.0,2.1,72190.0
Indiana,Spencer,2025,42,1.0,3.6,93.2,0.6,0.0,0.2,2.0,74506.0
Indiana,St. Joseph,2025,44,1.0,10.5,68.9,12.3,0.1,2.7,4.9,66868.0
Indiana,Tippecanoe,2025,39,1.0,10.3,71.6,6.2,0.1,8.0,3.3,60636.0
Indiana,Vanderburgh,2025,44,1.0,3.8,80.3,8.4,0.1,1.4,5.1,61648.0
Indiana,Vigo,2025,45,1.0,3.2,84.0,5.8,0.1,2.1,4.4,52976.0
Indiana,Wabash,2025,37,1.0,3.2,92.2,0.9,0.1,0.4,2.9,66806.0
Indiana,Warrick,2025,40,1.0,2.5,89.5,1.7,0.1,1.7,3.8,89844.0
Indiana,Whitley,2025,38,1.0,2.8,91.9,0.2,0.1,0.3,3.9,78083.0
Iowa,Black Hawk,2025,48,1.0,5.2,78.1,9.1,0.1,2.7,3.9,66417.0
Iowa,Bremer,2025,38,1.0,2.1,92.3,1.1,0.0,0.9,2.6,86784.0
Iowa,Clinton,2025,45,1.0,3.6,89.0,3.1,0.1,0.7,3.4,66981.0
Iowa,Harrison,2025,39,1.0,2.2,94.4,0.1,0.0,0.3,2.7,79535.0
Iowa,Johnson,2025,36,1.0,6.7,74.8,7.6,0.1,5.6,4.6,74935.0
Iowa,Linn,2025,44,1.0,4.1,82.4,5.9,0.1,2.4,4.7,77649.0
Iowa,Montgomery,2025,43,1.0,0.8,92.0,1.8,0.1,1.1,3.2,63666.0
Iowa,Muscatine,2025,41,1.0,18.8,75.0,2.2,0.1,0.6,3.1,69396.0
Iowa,Palo Alto,2025,42,1.0,3.5,91.3,1.6,0.1,0.6,2.8,72781.0
Iowa,Polk,2025,46,1.0,10.4,73.2,7.3,0.1,4.9,3.8,83576.0
Iowa,Pottawattamie,2025,41,0.5,9.1,84.5,1.8,0.2,0.9,3.0,73602.0
Iowa,Scott,2025,45,1.0,7.4,77.0,7.1,0.1,2.8,5.1,78277.0
Iowa,Van Buren,2025,46,1.0,1.8,94.4,0.4,0.1,0.0,2.4,61161.0
Iowa,Webster,2025,48,0.6833333333333333,6.6,83.9,3.3,0.1,1.2,4.7,68975.0
Iowa,Woodbury,2025,39,1.0,19.1,67.1,4.9,1.3,2.3,4.3,73658.0
Kansas,Chase,2025,22,0.1,8.4,86.3,1.1,0.2,0.5,3.5,56484.0
Kansas,Douglas,2025,41,0.9,7.2,76.0,4.2,1.0,4.3,6.8,69746.0
