State,County,Year,median_aqi,sample_weight,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races,Median_Household_Income,Total_Population,Land_Area_SqMi,population_density,Region,Division,log_population_density,log_median_income,total_minority_pct,Division_East North Central,Division_East South Central,Division_Middle Atlantic,Division_Mountain,Division_New England,Division_Pacific,Division_South Atlantic,Division_West North Central,Division_West South Central,interaction_income_Division_East North Central,interaction_density_Division_East North Central,interaction_income_Division_East South Central,interaction_density_Division_East South Central,interaction_income_Division_Middle Atlantic,interaction_density_Division_Middle Atlantic,interaction_income_Division_Mountain,interaction_density_Division_Mountain,interaction_income_Division_New England,interaction_density_Division_New England,interaction_income_Division_Pacific,interaction_density_Division_Pacific,interaction_income_Division_South Atlantic,interaction_density_Division_South Atlantic,interaction_income_Division_West North Central,interaction_density_Division_West North Central,interaction_income_Division_West South Central,interaction_density_Division_West South Central
Arkansas,Arkansas,2025,49,0.5055555555555555,4.1,67.1,26.1,0.1,0.1,2.4,53164.0,16515,992.14,16.645836273106617,South,West South Central,2.870499850342872,10.881155564085187,30.200000000000003,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.881155564085187,2.870499850342872
Arkansas,Ashley,2025,49,0.5055555555555555,6.4,67.3,23.7,0.1,0.0,2.2,44266.0,18429,925.492,19.912651865170098,South,West South Central,3.0403543282193946,10.697994757448491,30.1,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.697994757448491,3.0403543282193946
Arkansas,Clark,2025,35,1.0,5.6,67.3,23.2,0.0,0.8,2.8,52034.0,21125,865.971,24.39458134279323,South,West South Central,3.2345358183048813,10.85967184807196,28.799999999999997,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.85967184807196,3.2345358183048813
Arkansas,Crittenden,2025,41,1.0,3.3,38.8,50.9,0.1,0.8,6.2,55358.0,47266,612.865,77.12302056733539,South,West South Central,4.358284770997478,10.921594526544588,54.199999999999996,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.921594526544588,4.358284770997478
Arkansas,Garland,2025,49,0.5055555555555555,7.5,79.2,7.6,0.3,0.7,4.5,57181.0,100035,677.615,147.62807789083772,South,West South Central,5.001447063902236,10.95399444252939,15.1,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.95399444252939,5.001447063902236
Arkansas,Jackson,2025,44,0.5055555555555555,3.3,75.1,15.2,0.5,0.4,5.6,44218.0,16712,633.611,26.37580471298636,South,West South Central,3.3096595836127913,10.696909839954014,18.5,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.696909839954014,3.3096595836127913
Arkansas,Newton,2025,38,1.0,1.7,92.5,0.2,0.6,0.0,4.9,48986.0,7112,821.076,8.661804753762135,South,West South Central,2.268180458285949,10.79931023577042,1.9,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.79931023577042,2.268180458285949
Arkansas,Polk,2025,40,1.0,7.0,86.3,0.1,0.7,0.1,5.4,49191.0,19361,856.838,22.59586993107215,South,West South Central,3.161071693796095,10.803486287633305,7.1,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.803486287633305,3.161071693796095
Arkansas,Pulaski,2025,54,1.0,8.4,48.2,36.7,0.2,2.2,4.1,62873.0,399818,758.366,527.2098168957997,South,West South Central,6.269493585256017,11.048888002702997,45.1,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.048888002702997,6.269493585256017
Arkansas,Union,2025,52,0.5055555555555555,4.7,59.4,32.1,0.2,0.9,2.7,55259.0,37900,1039.067,36.47503000287758,South,West South Central,3.623674844598817,10.919804598477407,36.800000000000004,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.919804598477407,3.623674844598817
Arkansas,Washington,2025,41,1.0,18.6,59.9,3.0,0.6,2.4,12.2,70639.0,256765,941.45,272.7335493122311,South,West South Central,5.612155185488405,11.165351835277841,21.6,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.165351835277841,5.612155185488405
California,Amador,2025,40,1.0,16.0,72.6,1.9,1.0,1.3,5.8,88044.0,41428,594.585,69.67548794537366,West,Pacific,4.2580988076290245,11.385603326394879,17.9,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.385603326394879,4.2580988076290245,0.0,0.0,0.0,0.0,0.0,0.0
California,Butte,2025,47,1.0,20.0,65.1,1.7,0.8,5.5,5.9,67928.0,207929,1636.49,127.05791052802032,West,Pacific,4.852482587605992,11.126218321040632,21.7,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.126218321040632,4.852482587605992,0.0,0.0,0.0,0.0,0.0,0.0
California,Calaveras,2025,43,1.0,14.5,76.4,1.0,1.1,2.2,4.6,78647.0,46248,1020.016,45.34046524760396,West,Pacific,3.8360155588244385,11.27273747904676,15.5,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27273747904676,3.8360155588244385,0.0,0.0,0.0,0.0,0.0,0.0
