State,County,Year,median_aqi,sample_weight,Median_Household_Income
Iowa,Harrison,2025,39,1.0,79535.0
Iowa,Johnson,2025,36,1.0,74935.0
Iowa,Linn,2025,44,1.0,77649.0
Iowa,Montgomery,2025,43,1.0,63666.0
Iowa,Muscatine,2025,41,1.0,69396.0
Iowa,Palo Alto,2025,42,1.0,72781.0
Iowa,Polk,2025,46,1.0,83576.0
Iowa,Pottawattamie,2025,41,0.5,73602.0
Iowa,Scott,2025,45,1.0,78277.0
Iowa,Van Buren,2025,46,1.0,61161.0
Iowa,Webster,2025,48,0.6833333333333333,68975.0
Iowa,Woodbury,2025,39,1.0,73658.0
Kansas,Chase,2025,22,0.1,56484.0
Kansas,Douglas,2025,41,0.9,69746.0
Kansas,Ford,2025,26,1.0,70781.0
Kansas,Johnson,2025,43,1.0,109208.0
Kansas,Leavenworth,2025,36,1.0,89218.0
Kansas,Neosho,2025,43,1.0,56618.0
Kansas,Sedgwick,2025,48,1.0,69365.0
Kansas,Shawnee,2025,44,1.0,67104.0
Kansas,Sherman,2025,25,0.8277777777777777,61750.0
Kansas,Sumner,2025,43,1.0,63951.0
Kansas,Trego,2025,41,1.0,81528.0
Kansas,Wyandotte,2025,44,0.9333333333333332,63631.0
Kentucky,Bell,2025,43,1.0,31354.0
Kentucky,Boone,2025,38,0.6777777777777778,99414.0
Kentucky,Boyd,2025,39,1.0,61118.0
Kentucky,Bullitt,2025,39,0.6111111111111112,80558.0
Kentucky,Campbell,2025,39,1.0,77567.0
Kentucky,Carter,2025,36,1.0,51235.0
Kentucky,Christian,2025,41,1.0,55494.0
Kentucky,Daviess,2025,42,1.0,68214.0
Kentucky,Edmonson,2025,38,1.0,54937.0
Kentucky,Fayette,2025,40,1.0,69479.0
Kentucky,Greenup,2025,37,0.6777777777777778,60751.0
Kentucky,Hancock,2025,44,0.6777777777777778,65464.0
Kentucky,Hardin,2025,44,0.7055555555555556,67647.0
Kentucky,Jefferson,2025,48,1.0,69866.0
Kentucky,Jessamine,2025,41,0.9944444444444444,74576.0
Kentucky,Livingston,2025,40,0.5888888888888889,58984.0
Kentucky,McCracken,2025,39,1.0,64373.0
Kentucky,Morgan,2025,35,1.0,47913.0
Kentucky,Oldham,2025,39,0.6777777777777778,122497.0
Kentucky,Perry,2025,38,1.0,42181.0
Kentucky,Pike,2025,36,1.0,44312.0
Kentucky,Pulaski,2025,41,1.0,51898.0
Kentucky,Simpson,2025,39,0.6722222222222223,59858.0
